DATE,PRCP,SNOW,TAVG,TMAX,TMIN
1/1/2016,0,0,39,41,33
1/2/2016,0,0,35,40,31
1/3/2016,0,0,36,44,31
1/4/2016,0,0,30,36,14
1/5/2016,0,0,16,26,8
1/6/2016,0,0,30,45,21
1/7/2016,0,0,33,43,26
1/8/2016,0,0,35,42,30
1/9/2016,0.01,0,40,41,38
1/10/2016,1.38,0,45,58,38
1/11/2016,0,0,40,51,25
1/12/2016,0.08,0.3,29,37,21
1/13/2016,0,0,29,33,21
1/14/2016,0,0,24,30,21
1/15/2016,0,0,31,42,26
1/16/2016,1.22,0,39,43,34
1/17/2016,0.1,1.3,35,38,29
1/18/2016,0.11,1.8,27,29,19
1/19/2016,0,0,20,25,16
1/20/2016,0,0,24,33,19
1/21/2016,0,0,27,33,21
1/22/2016,0,0,24,32,19
1/23/2016,0.37,6.1,29,32,20
1/24/2016,0,0,25,36,18
1/25/2016,0,0,31,35,26
1/26/2016,0,0,37,51,28
1/27/2016,0,0,43,45,31
1/28/2016,0,0,34,42,26
1/29/2016,0,0,36,41,33
1/30/2016,0,0,36,43,30
1/31/2016,0,0,43,57,38
2/1/2016,0,0,49,65,39
2/2/2016,0,0,44,50,36
2/3/2016,0.33,0,42,57,35
2/4/2016,0.01,0,54,56,43
2/5/2016,0.96,6.8,37,43,25
2/6/2016,0,0,29,35,24
2/7/2016,0,0,34,44,29
2/8/2016,0.53,6.4,29,38,18
2/9/2016,0,0.1,23,29,20
2/10/2016,0,0.1,28,36,20
2/11/2016,0.01,0.2,28,31,11
2/12/2016,0,0,15,24,8
2/13/2016,0,0,20,24,-4
2/14/2016,0,0,0,12,-9
2/15/2016,0.26,1.3,11,35,4
2/16/2016,0.66,0,40,54,31
2/17/2016,0,0,42,46,34
2/18/2016,0,0,33,35,24
2/19/2016,0,0.1,28,37,20
2/20/2016,0.01,0,43,60,33
2/21/2016,0,0,50,54,42
2/22/2016,0,0,40,43,30
2/23/2016,0,0,33,39,26
2/24/2016,0.59,0,39,57,38
2/25/2016,0.81,0,54,62,41
2/26/2016,0,0,38,41,26
2/27/2016,0,0,29,39,21
2/28/2016,0,0,42,58,36
2/29/2016,0,0,50,64,43
3/1/2016,0,0,42,49,34
3/2/2016,0.37,0,43,53,25
3/3/2016,0,0,27,34,21
3/4/2016,0.01,0.5,29,31,26
3/5/2016,0,0,28,34,23
3/6/2016,0,0,34,42,30
3/7/2016,0,0,38,51,30
3/8/2016,0,0,44,48,36
3/9/2016,0,0,53,77,40
3/10/2016,0.4,0,62,66,47
3/11/2016,0.09,0,48,50,41
3/12/2016,0,0,45,60,36
3/13/2016,0,0,54,63,45
3/14/2016,0.21,0,43,45,39
3/15/2016,1.14,0,43,45,41
3/16/2016,0.03,0,43,48,41
3/17/2016,0.07,0,49,64,43
3/18/2016,0.03,0,47,52,35
3/19/2016,0,0,37,45,29
3/20/2016,0.02,0,32,35,26
3/21/2016,0.22,3.6,33,44,28
3/22/2016,0,0,40,49,33
3/23/2016,0,0,49,63,42
3/24/2016,0,0,40,43,36
3/25/2016,0.16,0,39,46,37
3/26/2016,0,0,40,43,34
3/27/2016,0,0,37,42,34
3/28/2016,0.41,0,40,47,38
3/29/2016,0,0,45,51,38
3/30/2016,0,0,44,59,34
3/31/2016,0,0,55,71,43
4/1/2016,0.05,0,63,69,59
4/2/2016,0.32,0,53,59,42
4/3/2016,0.49,1.9,38,43,29
4/4/2016,0.41,4.7,28,30,24
4/5/2016,0,0,29,37,22
4/6/2016,0,0,33,42,25
4/7/2016,1.03,0,49,58,42
4/8/2016,0,0,49,53,37
4/9/2016,0,0,39,46,32
4/10/2016,0,0,39,49,31
4/11/2016,0.01,0,48,60,42
4/12/2016,0.22,0,55,60,43
4/13/2016,0,0,45,50,38
4/14/2016,0,0,43,49,38
4/15/2016,0,0,45,54,38
4/16/2016,0,0,47,54,41
4/17/2016,0,0,46,54,39
4/18/2016,0,0,51,67,42
4/19/2016,0.02,0,47,54,44
4/20/2016,0,0,49,51,44
4/21/2016,0,0,55,77,43
4/22/2016,0,0,65,78,58
4/23/2016,0.09,0,60,64,48
4/24/2016,0,0,48,50,42
4/25/2016,0,0,48,57,44
4/26/2016,0.27,0,45,51,37
4/27/2016,0,0,45,62,37
4/28/2016,0,0,49,54,41
4/29/2016,0,0,47,51,43
